GID,idx_crime
라라562879,20447.398
라라562880,20655.643
라라562881,10073.961
라라562882,14027.817
라라562883,5240.041
라라562885,11474.206
라라562886,9774.686
라라562887,19150.649
라라562888,5604.941
라라562889,1572.722
라라563845,3964.54
라라563863,3036.536
라라563878,1045.858
라라563879,7821.383
라라563880,14120.714
라라563881,7579.683
라라563882,3305.038
라라563883,2903.839
라라563884,6345.49
라라563885,6576.433
라라563886,8301.723
라라563887,6715.626
라라563888,3186.525
라라564879,8170.312
라라564880,4857.867
라라564881,8970.063
라라564882,1742.84
라라564883,4268.714
라라564884,8150.987
라라564885,6446.16
라라564886,8257.634
라라564887,2302.066
라라564888,1849.101
라라564889,528.337
라라565862,2112.515
라라565878,1050.998
라라565879,2509.711
라라565880,5410.41
라라565881,6042.014
라라565882,9806.197
라라565883,8466.069
라라565884,10542.65
라라565885,25995.491
라라565886,5802.421
라라565887,1717.207
라라565888,4680.341
라라565889,2549.326
라라566863,1508.862
라라566879,19292.927
라라566880,28528.803
라라566881,13090.809
라라566882,19600.064
라라566883,20656.105
라라566884,36419.261
라라566885,63977.062
라라566886,34242.367
라라566887,16855.24
라라566888,8805.904
라라566889,4475.809
라라567863,2688.465
라라567864,4606.729
라라567878,635.257
라라567879,3994.155
라라567880,16770.172
라라567881,4124.925
라라567882,5614.26
라라567883,7883.317
라라567884,26442.212
라라567885,37381.505
라라567886,16763.634
라라567887,13353.437
라라567888,20742.68
라라567889,3250.443
라라567905,523.645
라라567915,2629.61
라라567916,1969.601
라라568863,874.289
라라568864,3269.333
라라568865,4070.837
라라568879,719.063
라라568880,3179.341
라라568881,518.743
라라568882,10872.012
라라568883,7562.384
라라568884,5679.671
라라568885,27403.404
라라568886,9634.886
라라568887,28645.586
라라568888,26751.115
라라568889,4777.076
라라569827,10.439
라라569864,38.606
라라569865,538.185
라라569866,4801.096
라라569867,11.406
라라569879,1829.628
라라569880,13598.742
라라569881,3012.464
라라569882,16744.604
라라569883,7600.613
라라569884,1093.042
라라569886,3462.161
라라569887,3784.804
라라569888,6176.299
라라569889,4310.456
라라570866,47.934
라라570879,33.538
라라570880,15266.711
라라570881,14939.072
라라570882,2590.244
라라570883,6636.918
라라570885,1630.743
