집계군명,가구코드,가구수
38030760020001,ga_sd_005,143.0
38030760020101,ga_sd_005,40.0
38030760020201,ga_sd_005,85.0
38030760020202,ga_sd_005,89.0
38030760020203,ga_sd_005,118.0
38030760040001,ga_sd_005,19.0
38030760040101,ga_sd_005,28.0
38030760040102,ga_sd_005,25.0
38030760040103,ga_sd_005,15.0
38030760040104,ga_sd_005,17.0
38030760040201,ga_sd_005,14.0
38030760040202,ga_sd_005,10.0
38030760040203,ga_sd_005,10.0
38030760040301,ga_sd_005,362.0
38030760040302,ga_sd_005,402.0
38030760050001,ga_sd_005,30.0
38030760050002,ga_sd_005,137.0
38030760050101,ga_sd_005,13.0
38030760050102,ga_sd_005,9.0
38030760050103,ga_sd_005,8.0
38030760050104,ga_sd_005,7.0
38030760050201,ga_sd_005,35.0
38030760050202,ga_sd_005,44.0
38030760050203,ga_sd_005,28.0
38030760050301,ga_sd_005,18.0
38030760050302,ga_sd_005,32.0
38030760050401,ga_sd_005,21.0
38030760050402,ga_sd_005,19.0
38030760050403,ga_sd_005,17.0
38030760050501,ga_sd_005,9.0
38030760050502,ga_sd_005,10.0
38030760050503,ga_sd_005,10.0
38030760050504,ga_sd_005,8.0
38030760050505,ga_sd_005,8.0
38030760050601,ga_sd_005,14.0
38030760050602,ga_sd_005,20.0
38030760050701,ga_sd_005,30.0
38030760050702,ga_sd_005,20.0
38030760050703,ga_sd_005,26.0
38030760050704,ga_sd_005,18.0
38030760050705,ga_sd_005,25.0
38030760050801,ga_sd_005,46.0
38030760050802,ga_sd_005,40.0
38030760050901,ga_sd_005,87.0
38030760050902,ga_sd_005,70.0
38030760050903,ga_sd_005,57.0
38030760051001,ga_sd_005,87.0
38030760051002,ga_sd_005,90.0
38030760051003,ga_sd_005,65.0
38030770010001,ga_sd_005,117.0
38030770010002,ga_sd_005,74.0
38030770010003,ga_sd_005,108.0
38030770020001,ga_sd_005,92.0
38030770020002,ga_sd_005,127.0
38030770020003,ga_sd_005,111.0
38030770020004,ga_sd_005,146.0
38030770020005,ga_sd_005,144.0
38030770020006,ga_sd_005,131.0
38030770020007,ga_sd_005,187.0
38030770020008,ga_sd_005,129.0
38030770020009,ga_sd_005,90.0
38030770020010,ga_sd_005,137.0
38030770020011,ga_sd_005,104.0
38030770020012,ga_sd_005,117.0
38030770020013,ga_sd_005,84.0
38030770020014,ga_sd_005,135.0
38030770020015,ga_sd_005,107.0
38030770020016,ga_sd_005,130.0
38030770020017,ga_sd_005,139.0
38030770020018,ga_sd_005,155.0
38030770020019,ga_sd_005,95.0
38030770020020,ga_sd_005,106.0
38030770020021,ga_sd_005,136.0
38030770020022,ga_sd_005,67.0
38030770020023,ga_sd_005,133.0
38030770020024,ga_sd_005,75.0
38030770020025,ga_sd_005,156.0
38030770020026,ga_sd_005,118.0
38030770020101,ga_sd_005,51.0
38030770020102,ga_sd_005,58.0
38030770020103,ga_sd_005,56.0
38030770020104,ga_sd_005,35.0
38030770020401,ga_sd_005,56.0
38030770020501,ga_sd_005,32.0
38030770020502,ga_sd_005,53.0
38030770020503,ga_sd_005,52.0
38030780010001,ga_sd_005,73.0
38030780010002,ga_sd_005,91.0
38030780010003,ga_sd_005,99.0
38030780010004,ga_sd_005,174.0
38030780010005,ga_sd_005,85.0
38030780010006,ga_sd_005,114.0
38030780010201,ga_sd_005,54.0
38030780010401,ga_sd_005,21.0
38030780010402,ga_sd_005,31.0
38030780010601,ga_sd_005,31.0
38030780010701,ga_sd_005,47.0
38030780020001,ga_sd_005,48.0
38030780020002,ga_sd_005,73.0
38030780020003,ga_sd_005,65.0
38030780020004,ga_sd_005,89.0
38030780020005,ga_sd_005,102.0
38030780020006,ga_sd_005,69.0
38030780020007,ga_sd_005,73.0
38030780020008,ga_sd_005,83.0
38030780020009,ga_sd_005,56.0
38030780020010,ga_sd_005,126.0
38030780020011,ga_sd_005,82.0
38030780020012,ga_sd_005,59.0
38030780020013,ga_sd_005,70.0
38030780020014,ga_sd_005,67.0
38030780020015,ga_sd_005,86.0
38030780020016,ga_sd_005,71.0
38030780020017,ga_sd_005,123.0
38030780020018,ga_sd_005,60.0
38030780020019,ga_sd_005,55.0
38030780020020,ga_sd_005,92.0
38030780020021,ga_sd_005,69.0
38030780020022,ga_sd_005,104.0
38030780020023,ga_sd_005,113.0
38030780020024,ga_sd_005,43.0
38030780020025,ga_sd_005,73.0
38030780020026,ga_sd_005,68.0
38030780020201,ga_sd_005,32.0
38030780020202,ga_sd_005,32.0
38030780020301,ga_sd_005,28.0
38030780020701,ga_sd_005,47.0
38030780020901,ga_sd_005,81.0
38030780020902,ga_sd_005,40.0
38030780020903,ga_sd_005,42.0
38030780020904,ga_sd_005,21.0
38030780020905,ga_sd_005,23.0
38030780021001,ga_sd_005,44.0
38030780021501,ga_sd_005,61.0
38030780021601,ga_sd_005,208.0
38030780021701,ga_sd_005,232.0
38030780021801,ga_sd_005,51.0
